CRASH_DATE,CRASH_TIME,BOROUGH,ZIP_CODE,LATITUDE,LONGITUDE,LOC,ON_STREET_NAME,CROSS_STREET_NAME,OFF_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,CONTRIBUTING_FACTOR_VEHICLE_2,CONTRIBUTING_FACTOR_VEHICLE_3,COLLISION_ID,VEHICLE_TYPE_CODE_1,VEHICLE_TYPE_CODE_2,VEHICLE_TYPE_CODE_3
12/13/2021,0:34,AB,0.0,40.701275,-73.88887,"(40.701275, -73.88887)",MYRTLE AVENUE,AB,AB,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,AB,4486934,Station Wagon/Sport Utility Vehicle,AB,AB
12/14/2021,16:50,QUEENS,11413.0,40.675884,-73.75577,"(40.675884, -73.75577)",SPRINGFIELD BOULEVARD,EAST GATE PLAZA,AB,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,AB,4487127,Sedan,Station Wagon/Sport Utility Vehicle,AB
12/14/2021,8:30,AB,0.0,0.0,0.0,"(0,0)",broadway,west 80 street -west 81 street,AB,0.0,0.0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,AB,4486634,Station Wagon/Sport Utility Vehicle,Sedan,AB
12/14/2021,0:59,AB,0.0,40.59662,-74.00231,"(40.59662, -74.00231)",BELT PARKWAY,AB,AB,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,AB,AB,4486564,Sedan,AB,AB
12/14/2021,23:10,QUEENS,11434.0,40.66684,-73.78941,"(40.66684, -73.78941)",NORTH CONDUIT AVENUE,150 STREET,AB,2.0,0.0,0,0,0,0,2,0,Reaction to Uninvolved Vehicle,Unspecified,AB,4486635,Sedan,Sedan,AB
12/14/2021,17:58,BROOKLYN,11217.0,40.68158,-73.97463,"(40.68158, -73.97463)",AB,AB,480 DEAN STREET,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Unspecified,AB,4486604,Tanker,Station Wagon/Sport Utility Vehicle,AB
12/14/2021,20:03,BROOKLYN,11226.0,40.65068,-73.95881,"(40.65068, -73.95881)",AB,AB,878 FLATBUSH AVENUE,4.0,0.0,0,0,0,0,4,0,Steering Failure,AB,AB,4486991,Sedan,AB,AB
12/14/2021,1:28,AB,0.0,0.0,0.0,"(0,0)",MEEKER AVENUE,LORIMER STREET,AB,3.0,0.0,0,0,0,0,3,0,Traffic Control Disregarded,Unspecified,AB,4486284,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,AB
12/11/2021,19:43,BRONX,10463.0,40.87262,-73.904686,"(40.87262, -73.904686)",WEST KINGSBRIDGE ROAD,HEATH AVENUE,AB,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,AB,4487040,Station Wagon/Sport Utility Vehicle,Sedan,AB
12/14/2021,14:30,AB,0.0,40.783268,-73.82485,"(40.783268, -73.82485)",WHITESTONE EXPRESSWAY,AB,AB,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,4486537,Station Wagon/Sport Utility Vehicle,Sedan,Sedan
12/11/2021,4:45,MANHATTAN,10001.0,40.748917,-73.993546,"(40.748917, -73.993546)",AB,AB,232 WEST 30 STREET,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,AB,4486905,Station Wagon/Sport Utility Vehicle,AB,AB
12/14/2021,5:46,AB,0.0,40.744644,-73.77041,"(40.744644, -73.77041)",LONG ISLAND EXPRESSWAY,AB,AB,1.0,0.0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,AB,4487122,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,AB
12/13/2021,6:30,QUEENS,11372.0,40.75373,-73.88505,"(40.75373, -73.88505)",82 STREET,34 AVENUE,AB,0.0,0.0,0,0,0,0,0,0,Unspecified,AB,AB,4486967,Sedan,AB,AB
12/14/2021,3:43,AB,0.0,40.804375,-73.93742,"(40.804375, -73.93742)",LEXINGTON AVENUE,AB,AB,1.0,0.0,1,0,0,0,0,0,Unspecified,AB,AB,4486304,Station Wagon/Sport Utility Vehicle,AB,AB
12/13/2021,17:40,STATEN ISLAND,10301.0,40.63165,-74.08762,"(40.63165, -74.08762)",VICTORY BOULEVARD,WOODSTOCK AVENUE,AB,1.0,0.0,0,0,0,0,1,0,Unspecified,Unspecified,AB,4487001,Sedan,Sedan,AB
12/14/2021,17:31,BROOKLYN,11230.0,40.623104,-73.95809,"(40.623104, -73.95809)",EAST 18 STREET,AVENUE K,AB,1.0,0.0,1,0,0,0,0,0,Unspecified,AB,AB,4486516,Sedan,AB,AB
